created_at,Display | Chrome,Display | Firefox,Display | IE,Display | Other,Display | Safari,Email | Chrome,Email | Firefox,Email | IE,Email | Other,Email | Safari,Facebook | Chrome,Facebook | Firefox,Facebook | IE,Facebook | Other,Facebook | Safari,Organic | Chrome,Organic | Firefox,Organic | IE,Organic | Other,Organic | Safari,Search | Chrome,Search | Firefox,Search | IE,Search | Other,Search | Safari
2019-02-11T00:00:00.000000+0000,,,,,,,,,,,,,,,,,,,,,543.5177653712329,,,,
2019-02-18T00:00:00.000000+0000,,,,,,,,,,,,,,,,,,,,,597.207017367646,,,,
2019-02-25T00:00:00.000000+0000,,,,,,,,,,,,,,,,,,,,,540.2430815819168,,,,
2019-03-04T00:00:00.000000+0000,,,,,,,,,,,,,,,,,,,,,572.6143709498846,,,,165.74446331547932
2019-03-11T00:00:00.000000+0000,,,,,,,,,,,,,,,,,,,,,455.1494343759505,,,,195.16437528958446
2019-03-18T00:00:00.000000+0000,,,,,,,,,,,,,,,,,,,,,490.6817489860822,,,,151.89621639855653
2019-03-25T00:00:00.000000+0000,,,,,,,,,,,,,,,,223.9232842558843,,,,,475.741833115475,,162.58086453702072,,
2019-04-01T00:00:00.000000+0000,,,,,,,,,,,,,,,,,,,,,403.5123255704027,,151.57706755598278,,161.1124678457549
2019-04-08T00:00:00.000000+0000,,,,,,,,,,,,,,,,190.78484986098778,,,,,312.85642734889507,85.93556608220881,71.7928892272694,,
2019-04-15T00:00:00.000000+0000,,,,,,101.59341462598763,,,,,,,,,,,,,,,372.93207257163834,,,,216.1463426404793
2019-04-22T00:00:00.000000+0000,,,,,,96.29186678899953,,,,,223.42422226391008,,,,,186.797849861256,,,,,390.0213027654833,81.57956608852457,,,235.3017622250967
2019-04-29T00:00:00.000000+0000,,,,,,,,,,,,,,,,,,,,,426.8268253695102,81.57956608852457,,,244.1288495538924
2019-05-06T00:00:00.000000+0000,,,,,,,,,,,200.6390154145839,,,,,,,,,,547.4610560023419,252.97435393721122,77.93638311569262,,244.5751033554074
2019-05-13T00:00:00.000000+0000,,,,,,151.39731917950527,,,,,,,,,,,,,,,536.3896047491712,240.90356149874188,83.59533193779883,,222.7123296563495
2019-05-20T00:00:00.000000+0000,,,,,,,,,,,,,,,,204.79315099583349,,,,,506.0059655958112,234.96447663035553,,,242.41910614478857
2019-05-27T00:00:00.000000+0000,,,,,,141.54541280981866,,,,,200.6390154145839,,,,,222.2402334124085,,,,,530.7167998796565,232.1791419533378,63.08288302156359,109.00893753632995,226.14427170648884
2019-06-03T00:00:00.000000+0000,,,,,,,,,,,205.1782669956732,,,,,293.310214256633,122.31955889598218,,,132.82961873027713,542.5769546182613,227.83843031166577,97.26533981586651,,280.33409322997613
2019-06-10T00:00:00.000000+0000,,,,,,258.61171680936684,,,,,168.74847484920954,,,,,295.89765872086883,114.71944144217312,,,,487.06406228605664,227.83843031166577,111.83041448973867,,272.6745907402539
2019-06-17T00:00:00.000000+0000,,,,,,,,,,,149.08168192021168,,,,,327.6654377316953,,,,110.74838476910415,608.2856161400762,262.6591681708351,118.11968127809196,,214.488421035345
2019-06-24T00:00:00.000000+0000,,,,,,,,,,,,,,,,282.55639451814693,78.16985655221175,,,107.0991098438048,658.9736995226024,303.53354232780725,,,232.15310719457744
2019-07-01T00:00:00.000000+0000,225.08219958097789,,,,,204.77109888785736,,,,,172.31720390185728,,,,,306.69163110039915,,,,96.97148493667626,596.1378321789518,,,,224.66268144684014
2019-07-08T00:00:00.000000+0000,,,,,,202.31179643323514,,,,,108.11387367936322,,,,,339.84538107950027,83.85485653410686,,,55.48630881022737,665.7492011265233,142.61991818003168,,109.00893753632995,293.2023615514212
2019-07-15T00:00:00.000000+0000,240.60532463180016,,,,,197.4086714415472,,,,,117.05762363661552,,,,,318.0587393353473,,,,,665.6924896578953,183.92437205788485,,,321.00373906428496
2019-07-22T00:00:00.000000+0000,207.09542611688855,,,,,200.7662713206413,,,,,97.95147467923013,,,,,,94.91242165662197,,,43.05505878843442,840.5985095726036,205.0374238530851,,68.37267397827755,336.26342644137554
2019-07-29T00:00:00.000000+0000,,,,,,216.03120886319482,,,,,,144.60464587349793,,,,318.9617456424506,,,,57.30608251114843,1001.8551224079238,165.73320122841562,,40.90242409389404,288.09869993310815
2019-08-05T00:00:00.000000+0000,213.52074730380878,,,,,152.8316627143379,,,,,134.17641113872327,,,,,267.72020849315527,,,,83.19844137290856,1041.346762775839,249.34217487169343,136.22055605294844,69.36267399168511,271.97922394152255
2019-08-12T00:00:00.000000+0000,,,,,,,,,,,,,,,,285.2138057210285,,,,184.24303067331908,958.7012566841731,308.8971521916933,132.12760359914176,130.61952734240361,339.44808780989086
2019-08-19T00:00:00.000000+0000,143.06254523252142,,,,,164.81640385774145,,,,85.14631558686898,124.1833281767011,133.90242362897712,,,41.30382749957744,234.49202681419206,,,,220.69066023064192,982.5707944857381,289.6703284746012,142.81002152534683,124.52877746027553,383.0184116893307
2019-08-26T00:00:00.000000+0000,129.87904525646013,,,,,,,,,70.48306551560046,128.3556673711389,,,,,287.5281759270859,,,,226.1005601679274,1067.9149413882558,278.37370433502986,141.23952149702717,129.04435874925997,446.1184175299683
2019-09-02T00:00:00.000000+0000,,,,,,44.29297863798659,,,,,,,,,,271.33783189389493,100.5164216615617,60.58986473597635,,221.24806018837927,1137.8397208437805,438.75707859669495,,186.92244683631034,458.76867499925834
2019-09-09T00:00:00.000000+0000,,,,,,76.53322871741351,,,,,,131.57210962087794,,,,299.710928829992,122.6483746487759,,,,1224.1793756936002,435.1944998200309,139.73171426370837,190.22919305631586,444.71876431671967
2019-09-16T00:00:00.000000+0000,,,,,,78.02160366961151,,,,72.63936793940941,155.52698240589297,142.9436095485924,,,61.98882747274138,352.0626203276421,131.20214353719382,,,,1165.7392636810855,409.7689480374035,,,480.32636420510266
